<TICKER>,<PER>,<DATE>,<TIME>,<LAST>,<VOL>
US.BAC,0,12/12/16,09:52:17,23.095000000,200
US.BAC,0,12/12/16,09:52:17,23.095000000,200
US.BAC,0,12/12/16,09:52:17,23.095000000,100
US.BAC,0,12/12/16,09:52:19,23.095000000,100
US.BAC,0,12/12/16,09:52:20,23.095000000,200
US.BAC,0,12/12/16,09:52:21,23.095000000,100
US.BAC,0,12/12/16,09:52:22,23.095000000,200
US.BAC,0,12/12/16,09:52:22,23.090000000,130
US.BAC,0,12/12/16,09:52:22,23.090000000,5637
US.BAC,0,12/12/16,09:52:22,23.090000000,100
US.BAC,0,12/12/16,09:52:22,23.090000000,200
US.BAC,0,12/12/16,09:52:30,23.080000000,573
US.BAC,0,12/12/16,09:52:30,23.080000000,400
US.BAC,0,12/12/16,09:52:30,23.080000000,3500
US.BAC,0,12/12/16,09:52:30,23.080000000,4000
US.BAC,0,12/12/16,09:52:30,23.075000000,100
US.BAC,0,12/12/16,09:52:31,23.075000000,100
US.BAC,0,12/12/16,09:52:33,23.070000000,300
US.BAC,0,12/12/16,09:52:34,23.065000000,200
US.BAC,0,12/12/16,09:52:36,23.060000000,300
US.BAC,0,12/12/16,09:52:36,23.060000000,400
US.BAC,0,12/12/16,09:52:36,23.060000000,1000
US.BAC,0,12/12/16,09:52:36,23.060000000,200
US.BAC,0,12/12/16,09:52:36,23.060000000,200
US.BAC,0,12/12/16,09:52:36,23.060000000,200
US.BAC,0,12/12/16,09:52:36,23.060000000,200
US.BAC,0,12/12/16,09:52:36,23.060000000,100
US.BAC,0,12/12/16,09:52:36,23.060000000,100
US.BAC,0,12/12/16,09:52:36,23.060000000,200
US.BAC,0,12/12/16,09:52:36,23.060000000,500
US.BAC,0,12/12/16,09:52:36,23.060000000,400
US.BAC,0,12/12/16,09:52:38,23.050000000,400
US.BAC,0,12/12/16,09:52:38,23.050000000,250
US.BAC,0,12/12/16,09:52:38,23.050000000,446
US.BAC,0,12/12/16,09:52:38,23.050000000,354
US.BAC,0,12/12/16,09:52:38,23.050000000,100
US.BAC,0,12/12/16,09:52:38,23.050000000,100
US.BAC,0,12/12/16,09:52:38,23.050000000,200
US.BAC,0,12/12/16,09:52:38,23.050000000,200
US.BAC,0,12/12/16,09:52:38,23.050000000,300
US.BAC,0,12/12/16,09:52:38,23.050000000,100
US.BAC,0,12/12/16,09:52:38,23.050000000,600
US.BAC,0,12/12/16,09:52:38,23.050000000,300
US.BAC,0,12/12/16,09:52:38,23.050000000,400
US.BAC,0,12/12/16,09:52:38,23.050000000,100
US.BAC,0,12/12/16,09:52:38,23.050000000,200
US.BAC,0,12/12/16,09:52:38,23.050000000,800
US.BAC,0,12/12/16,09:52:38,23.055000000,200
US.BAC,0,12/12/16,09:52:38,23.055000000,200
US.BAC,0,12/12/16,09:52:38,23.055000000,200
US.BAC,0,12/12/16,09:52:38,23.055000000,200
US.BAC,0,12/12/16,09:52:38,23.055000000,300
US.BAC,0,12/12/16,09:52:38,23.055000000,400
US.BAC,0,12/12/16,09:52:38,23.055000000,1000
US.BAC,0,12/12/16,09:52:38,23.055000000,200
US.BAC,0,12/12/16,09:52:39,23.060000000,100
US.BAC,0,12/12/16,09:52:43,23.055000000,100
US.BAC,0,12/12/16,09:52:43,23.055000000,100
US.BAC,0,12/12/16,09:52:45,23.060000000,300
US.BAC,0,12/12/16,09:52:45,23.060000000,100
US.BAC,0,12/12/16,09:52:45,23.065000000,200
US.BAC,0,12/12/16,09:52:47,23.070000000,300
US.BAC,0,12/12/16,09:52:47,23.070000000,1300
US.BAC,0,12/12/16,09:52:47,23.070000000,300
US.BAC,0,12/12/16,09:52:47,23.075000000,100
US.BAC,0,12/12/16,09:52:49,23.075000000,200
US.BAC,0,12/12/16,09:52:52,23.075000000,200
US.BAC,0,12/12/16,09:52:56,23.080000000,300
US.BAC,0,12/12/16,09:52:56,23.080000000,400
US.BAC,0,12/12/16,09:52:56,23.080000000,100
US.BAC,0,12/12/16,09:52:56,23.080000000,400
US.BAC,0,12/12/16,09:52:56,23.080000000,100
US.BAC,0,12/12/16,09:52:56,23.080000000,200
US.BAC,0,12/12/16,09:52:56,23.080000000,400
US.BAC,0,12/12/16,09:52:56,23.080000000,200
US.BAC,0,12/12/16,09:52:56,23.080000000,300
US.BAC,0,12/12/16,09:53:07,23.070000000,200
US.BAC,0,12/12/16,09:53:07,23.070000000,600
US.BAC,0,12/12/16,09:53:07,23.070000000,500
US.BAC,0,12/12/16,09:53:19,23.070000000,100
US.BAC,0,12/12/16,09:53:19,23.070000000,100
US.BAC,0,12/12/16,09:53:19,23.070000000,500
US.BAC,0,12/12/16,09:53:19,23.070000000,200
US.BAC,0,12/12/16,09:53:19,23.070000000,255
US.BAC,0,12/12/16,09:53:19,23.070000000,100
US.BAC,0,12/12/16,09:53:19,23.070000000,400
US.BAC,0,12/12/16,09:53:22,23.070000000,200
US.BAC,0,12/12/16,09:53:24,23.070000000,300
US.BAC,0,12/12/16,09:53:26,23.070000000,100
US.BAC,0,12/12/16,09:53:30,23.070000000,400
US.BAC,0,12/12/16,09:53:30,23.070000000,2800
US.BAC,0,12/12/16,09:53:33,23.075000000,100
US.BAC,0,12/12/16,09:53:39,23.070000000,300
US.BAC,0,12/12/16,09:53:39,23.070000000,1499
US.BAC,0,12/12/16,09:53:46,23.070000000,157
US.BAC,0,12/12/16,09:53:48,23.065000000,200
US.BAC,0,12/12/16,09:53:48,23.065000000,200
US.BAC,0,12/12/16,09:53:48,23.065000000,200
US.BAC,0,12/12/16,09:53:48,23.065000000,400
US.BAC,0,12/12/16,09:53:48,23.065000000,600
US.BAC,0,12/12/16,09:53:48,23.065000000,700
US.BAC,0,12/12/16,09:53:48,23.065000000,200
US.BAC,0,12/12/16,09:53:48,23.065000000,200
US.BAC,0,12/12/16,09:53:49,23.065000000,100
US.BAC,0,12/12/16,09:53:49,23.060000000,200
US.BAC,0,12/12/16,09:53:49,23.060000000,300
US.BAC,0,12/12/16,09:53:49,23.060000000,200
US.BAC,0,12/12/16,09:53:49,23.060000000,100
US.BAC,0,12/12/16,09:53:49,23.060000000,400
US.BAC,0,12/12/16,09:53:52,23.055000000,200
US.BAC,0,12/12/16,09:53:55,23.055000000,200
US.BAC,0,12/12/16,09:53:56,23.055000000,100
US.BAC,0,12/12/16,09:53:57,23.060000000,100
US.BAC,0,12/12/16,09:54:00,23.055000000,200
US.BAC,0,12/12/16,09:54:03,23.050000000,100
US.BAC,0,12/12/16,09:54:03,23.050000000,100
US.BAC,0,12/12/16,09:54:03,23.050000000,100
US.BAC,0,12/12/16,09:54:03,23.050000000,100
US.BAC,0,12/12/16,09:54:03,23.050000000,400
US.BAC,0,12/12/16,09:54:03,23.050000000,300
US.BAC,0,12/12/16,09:54:03,23.050000000,100
US.BAC,0,12/12/16,09:54:04,23.045000000,100
US.BAC,0,12/12/16,09:54:08,23.045000000,200
US.BAC,0,12/12/16,09:54:11,23.045000000,200
US.BAC,0,12/12/16,09:54:12,23.045000000,100
US.BAC,0,12/12/16,09:54:12,23.045000000,100
US.BAC,0,12/12/16,09:54:12,23.045000000,100
US.BAC,0,12/12/16,09:54:12,23.045000000,100
US.BAC,0,12/12/16,09:54:12,23.045000000,200
US.BAC,0,12/12/16,09:54:12,23.045000000,100
US.BAC,0,12/12/16,09:54:17,23.045000000,200
US.BAC,0,12/12/16,09:54:17,23.040000000,200
US.BAC,0,12/12/16,09:54:17,23.040000000,400
US.BAC,0,12/12/16,09:54:17,23.040000000,100
US.BAC,0,12/12/16,09:54:24,23.035000000,200
US.BAC,0,12/12/16,09:54:25,23.040000000,300
US.BAC,0,12/12/16,09:54:25,23.040000000,300
US.BAC,0,12/12/16,09:54:26,23.040000000,100
US.BAC,0,12/12/16,09:54:26,23.040000000,400
US.BAC,0,12/12/16,09:54:26,23.040000000,175
US.BAC,0,12/12/16,09:54:26,23.040000000,100
US.BAC,0,12/12/16,09:54:26,23.040000000,100
US.BAC,0,12/12/16,09:54:26,23.040000000,100
US.BAC,0,12/12/16,09:54:26,23.040000000,2529
US.BAC,0,12/12/16,09:54:26,23.040000000,200
US.BAC,0,12/12/16,09:54:26,23.040000000,100
US.BAC,0,12/12/16,09:54:27,23.050000000,200
US.BAC,0,12/12/16,09:54:27,23.050000000,400
US.BAC,0,12/12/16,09:54:27,23.050000000,200
US.BAC,0,12/12/16,09:54:27,23.050000000,300
US.BAC,0,12/12/16,09:54:27,23.050000000,500
US.BAC,0,12/12/16,09:54:27,23.050000000,300
US.BAC,0,12/12/16,09:54:27,23.050000000,200
US.BAC,0,12/12/16,09:54:27,23.050000000,900
US.BAC,0,12/12/16,09:54:27,23.050000000,100
US.BAC,0,12/12/16,09:54:36,23.060000000,100
US.BAC,0,12/12/16,09:54:36,23.060000000,700
US.BAC,0,12/12/16,09:54:40,23.060000000,3900
US.BAC,0,12/12/16,09:54:40,23.060000000,100
US.BAC,0,12/12/16,09:54:40,23.070000000,400
US.BAC,0,12/12/16,09:54:40,23.070000000,200
US.BAC,0,12/12/16,09:54:40,23.070000000,400
US.BAC,0,12/12/16,09:54:40,23.070000000,800
US.BAC,0,12/12/16,09:54:40,23.070000000,2400
US.BAC,0,12/12/16,09:54:40,23.070000000,300
US.BAC,0,12/12/16,09:54:40,23.070000000,3400
US.BAC,0,12/12/16,09:54:40,23.070000000,200
US.BAC,0,12/12/16,09:54:40,23.070000000,200
US.BAC,0,12/12/16,09:54:40,23.070000000,200
US.BAC,0,12/12/16,09:54:40,23.070000000,500
US.BAC,0,12/12/16,09:54:40,23.070000000,200
US.BAC,0,12/12/16,09:54:40,23.070000000,100
US.BAC,0,12/12/16,09:54:40,23.070000000,100
US.BAC,0,12/12/16,09:54:45,23.070000000,400
US.BAC,0,12/12/16,09:54:45,23.070000000,500
US.BAC,0,12/12/16,09:54:45,23.070000000,300
US.BAC,0,12/12/16,09:54:45,23.070000000,400
US.BAC,0,12/12/16,09:54:48,23.070000000,2300
US.BAC,0,12/12/16,09:54:48,23.070000000,400
US.BAC,0,12/12/16,09:54:48,23.070000000,300
US.BAC,0,12/12/16,09:54:48,23.070000000,200
US.BAC,0,12/12/16,09:54:50,23.070000000,300
US.BAC,0,12/12/16,09:54:51,23.070000000,300
US.BAC,0,12/12/16,09:54:51,23.070000000,1200
US.BAC,0,12/12/16,09:55:01,23.065000000,200
US.BAC,0,12/12/16,09:55:21,23.065000000,200
US.BAC,0,12/12/16,09:55:21,23.065000000,100
US.BAC,0,12/12/16,09:55:21,23.070000000,300
US.BAC,0,12/12/16,09:55:21,23.070000000,400
US.BAC,0,12/12/16,09:55:21,23.070000000,200
US.BAC,0,12/12/16,09:55:21,23.070000000,100
US.BAC,0,12/12/16,09:55:21,23.070000000,200
US.BAC,0,12/12/16,09:55:21,23.070000000,200
US.BAC,0,12/12/16,09:55:21,23.070000000,200
US.BAC,0,12/12/16,09:55:21,23.070000000,1100
US.BAC,0,12/12/16,09:55:21,23.070000000,200
US.BAC,0,12/12/16,09:55:24,23.075000000,100
US.BAC,0,12/12/16,09:55:24,23.075000000,100
US.BAC,0,12/12/16,09:55:24,23.075000000,100
US.BAC,0,12/12/16,09:55:25,23.075000000,100
US.BAC,0,12/12/16,09:55:25,23.075000000,100
US.BAC,0,12/12/16,09:55:26,23.070000000,200
US.BAC,0,12/12/16,09:55:26,23.070000000,400
US.BAC,0,12/12/16,09:55:26,23.070000000,600
US.BAC,0,12/12/16,09:55:26,23.070000000,4400
US.BAC,0,12/12/16,09:55:31,23.070000000,1000
US.BAC,0,12/12/16,09:55:31,23.070000000,200
US.BAC,0,12/12/16,09:55:31,23.070000000,100
US.BAC,0,12/12/16,09:55:31,23.070000000,338
US.BAC,0,12/12/16,09:55:38,23.080000000,200
US.BAC,0,12/12/16,09:55:38,23.080000000,200
US.BAC,0,12/12/16,09:55:38,23.080000000,100
US.BAC,0,12/12/16,09:55:39,23.090000000,200
US.BAC,0,12/12/16,09:55:39,23.090000000,200
US.BAC,0,12/12/16,09:55:39,23.090000000,200
US.BAC,0,12/12/16,09:55:39,23.090000000,200
US.BAC,0,12/12/16,09:55:39,23.090000000,300
US.BAC,0,12/12/16,09:55:39,23.090000000,400
US.BAC,0,12/12/16,09:55:40,23.090000000,400
US.BAC,0,12/12/16,09:55:40,23.090000000,200
US.BAC,0,12/12/16,09:55:40,23.090000000,300
US.BAC,0,12/12/16,09:55:40,23.090000000,300
US.BAC,0,12/12/16,09:55:40,23.090000000,100
US.BAC,0,12/12/16,09:55:40,23.090000000,300
US.BAC,0,12/12/16,09:55:45,23.090000000,300
US.BAC,0,12/12/16,09:55:45,23.090000000,300
US.BAC,0,12/12/16,09:55:45,23.090000000,100
US.BAC,0,12/12/16,09:55:45,23.090000000,200
US.BAC,0,12/12/16,09:55:45,23.090000000,300
US.BAC,0,12/12/16,09:55:45,23.090000000,399
US.BAC,0,12/12/16,09:55:45,23.090000000,100
US.BAC,0,12/12/16,09:55:45,23.090000000,200
US.BAC,0,12/12/16,09:55:47,23.095000000,200
US.BAC,0,12/12/16,09:55:47,23.095000000,200
US.BAC,0,12/12/16,09:55:47,23.100000000,400
US.BAC,0,12/12/16,09:55:47,23.100000000,200
US.BAC,0,12/12/16,09:55:47,23.100000000,300
US.BAC,0,12/12/16,09:55:47,23.100000000,400
US.BAC,0,12/12/16,09:55:47,23.100000000,200
US.BAC,0,12/12/16,09:55:47,23.100000000,200
US.BAC,0,12/12/16,09:55:47,23.100000000,600
US.BAC,0,12/12/16,09:55:47,23.100000000,200
US.BAC,0,12/12/16,09:55:47,23.100000000,200
US.BAC,0,12/12/16,09:55:47,23.100000000,100
US.BAC,0,12/12/16,09:55:47,23.100000000,200
US.BAC,0,12/12/16,09:55:47,23.100000000,200
US.BAC,0,12/12/16,09:55:47,23.100000000,200
US.BAC,0,12/12/16,09:55:47,23.100000000,100
US.BAC,0,12/12/16,09:55:50,23.110000000,200
US.BAC,0,12/12/16,09:55:50,23.110000000,200
US.BAC,0,12/12/16,09:55:50,23.110000000,200
US.BAC,0,12/12/16,09:55:50,23.110000000,100
US.BAC,0,12/12/16,09:55:50,23.110000000,200
US.BAC,0,12/12/16,09:55:50,23.110000000,100
US.BAC,0,12/12/16,09:55:50,23.110000000,400
US.BAC,0,12/12/16,09:55:50,23.110000000,200
US.BAC,0,12/12/16,09:55:50,23.110000000,300
US.BAC,0,12/12/16,09:55:50,23.110000000,200
US.BAC,0,12/12/16,09:55:50,23.110000000,200
US.BAC,0,12/12/16,09:55:56,23.120000000,200
US.BAC,0,12/12/16,09:55:56,23.120000000,100
US.BAC,0,12/12/16,09:55:56,23.120000000,100
US.BAC,0,12/12/16,09:55:56,23.120000000,200
US.BAC,0,12/12/16,09:55:56,23.120000000,200
US.BAC,0,12/12/16,09:55:56,23.120000000,200
US.BAC,0,12/12/16,09:55:56,23.120000000,100
US.BAC,0,12/12/16,09:55:56,23.120000000,100
US.BAC,0,12/12/16,09:55:56,23.120000000,250
US.BAC,0,12/12/16,09:55:56,23.120000000,400
US.BAC,0,12/12/16,09:55:56,23.120000000,1300
US.BAC,0,12/12/16,09:55:56,23.120000000,300
US.BAC,0,12/12/16,09:55:56,23.120000000,200
US.BAC,0,12/12/16,09:55:56,23.120000000,400
US.BAC,0,12/12/16,09:55:56,23.120000000,300
US.BAC,0,12/12/16,09:55:56,23.120000000,500
US.BAC,0,12/12/16,09:55:56,23.120000000,100
US.BAC,0,12/12/16,09:55:57,23.115000000,200
US.BAC,0,12/12/16,09:55:57,23.115000000,200
US.BAC,0,12/12/16,09:55:59,23.130000000,200
US.BAC,0,12/12/16,09:55:59,23.130000000,200
US.BAC,0,12/12/16,09:55:59,23.130000000,200
US.BAC,0,12/12/16,09:55:59,23.130000000,200
US.BAC,0,12/12/16,09:55:59,23.140000000,200
US.BAC,0,12/12/16,09:55:59,23.140000000,200
US.BAC,0,12/12/16,09:55:59,23.140000000,200
US.BAC,0,12/12/16,09:55:59,23.140000000,200
US.BAC,0,12/12/16,09:55:59,23.140000000,200
US.BAC,0,12/12/16,09:55:59,23.140000000,100
US.BAC,0,12/12/16,09:56:03,23.145000000,200
US.BAC,0,12/12/16,09:56:03,23.145000000,200
US.BAC,0,12/12/16,09:56:03,23.140000000,200
US.BAC,0,12/12/16,09:56:03,23.140000000,400
US.BAC,0,12/12/16,09:56:03,23.140000000,300
US.BAC,0,12/12/16,09:56:03,23.140000000,400
US.BAC,0,12/12/16,09:56:03,23.140000000,200
US.BAC,0,12/12/16,09:56:03,23.140000000,200
US.BAC,0,12/12/16,09:56:03,23.140000000,200
US.BAC,0,12/12/16,09:56:03,23.140000000,200
US.BAC,0,12/12/16,09:56:03,23.140000000,200
US.BAC,0,12/12/16,09:56:03,23.140000000,300
US.BAC,0,12/12/16,09:56:03,23.140000000,1700
US.BAC,0,12/12/16,09:56:03,23.140000000,100
US.BAC,0,12/12/16,09:56:03,23.140000000,300
US.BAC,0,12/12/16,09:56:03,23.140000000,100
US.BAC,0,12/12/16,09:56:03,23.140000000,100
US.BAC,0,12/12/16,09:56:03,23.140000000,400
US.BAC,0,12/12/16,09:56:03,23.145000000,300
US.BAC,0,12/12/16,09:56:03,23.145000000,200
US.BAC,0,12/12/16,09:56:03,23.145000000,200
US.BAC,0,12/12/16,09:56:03,23.145000000,200
US.BAC,0,12/12/16,09:56:03,23.145000000,200
US.BAC,0,12/12/16,09:56:03,23.145000000,200
US.BAC,0,12/12/16,09:56:03,23.150000000,200
US.BAC,0,12/12/16,09:56:03,23.150000000,200
US.BAC,0,12/12/16,09:56:03,23.150000000,200
US.BAC,0,12/12/16,09:56:07,23.145000000,200
US.BAC,0,12/12/16,09:56:07,23.145000000,200
US.BAC,0,12/12/16,09:56:07,23.145000000,200
US.BAC,0,12/12/16,09:56:07,23.145000000,200
US.BAC,0,12/12/16,09:56:07,23.145000000,200
US.BAC,0,12/12/16,09:56:07,23.140000000,200
US.BAC,0,12/12/16,09:56:07,23.140000000,300
US.BAC,0,12/12/16,09:56:07,23.140000000,400
US.BAC,0,12/12/16,09:56:07,23.140000000,200
US.BAC,0,12/12/16,09:56:07,23.140000000,100
US.BAC,0,12/12/16,09:56:07,23.140000000,400
US.BAC,0,12/12/16,09:56:07,23.140000000,600
US.BAC,0,12/12/16,09:56:07,23.140000000,100
US.BAC,0,12/12/16,09:56:07,23.140000000,300
US.BAC,0,12/12/16,09:56:07,23.140000000,100
US.BAC,0,12/12/16,09:56:10,23.145000000,200
US.BAC,0,12/12/16,09:56:11,23.140000000,200
US.BAC,0,12/12/16,09:56:11,23.140000000,100
US.BAC,0,12/12/16,09:56:11,23.140000000,300
US.BAC,0,12/12/16,09:56:11,23.140000000,200
US.BAC,0,12/12/16,09:56:11,23.140000000,200
US.BAC,0,12/12/16,09:56:11,23.140000000,400
US.BAC,0,12/12/16,09:56:11,23.140000000,200
US.BAC,0,12/12/16,09:56:11,23.140000000,200
US.BAC,0,12/12/16,09:56:11,23.140000000,400
US.BAC,0,12/12/16,09:56:11,23.140000000,100
US.BAC,0,12/12/16,09:56:11,23.140000000,300
US.BAC,0,12/12/16,09:56:11,23.140000000,400
US.BAC,0,12/12/16,09:56:11,23.140000000,200
US.BAC,0,12/12/16,09:56:11,23.140000000,600
US.BAC,0,12/12/16,09:56:11,23.135000000,200
US.BAC,0,12/12/16,09:56:11,23.135000000,100
US.BAC,0,12/12/16,09:56:12,23.135000000,200
US.BAC,0,12/12/16,09:56:14,23.130000000,1400
US.BAC,0,12/12/16,09:56:14,23.130000000,100
US.BAC,0,12/12/16,09:56:14,23.130000000,200
US.BAC,0,12/12/16,09:56:15,23.125000000,200
US.BAC,0,12/12/16,09:56:17,23.125000000,100
US.BAC,0,12/12/16,09:56:17,23.125000000,100
US.BAC,0,12/12/16,09:56:21,23.130000000,300
US.BAC,0,12/12/16,09:56:21,23.135000000,200
US.BAC,0,12/12/16,09:56:21,23.130000000,600
US.BAC,0,12/12/16,09:56:21,23.130000000,500
US.BAC,0,12/12/16,09:56:21,23.130000000,200
US.BAC,0,12/12/16,09:56:21,23.130000000,100
US.BAC,0,12/12/16,09:56:26,23.130000000,200
US.BAC,0,12/12/16,09:56:26,23.130000000,100
US.BAC,0,12/12/16,09:56:26,23.130000000,400
US.BAC,0,12/12/16,09:56:26,23.130000000,400
US.BAC,0,12/12/16,09:56:27,23.125000000,100
US.BAC,0,12/12/16,09:56:28,23.120000000,200
US.BAC,0,12/12/16,09:56:34,23.120000000,600
US.BAC,0,12/12/16,09:56:34,23.120000000,100
US.BAC,0,12/12/16,09:56:34,23.120000000,200
US.BAC,0,12/12/16,09:56:35,23.120000000,400
US.BAC,0,12/12/16,09:56:35,23.120000000,1600
US.BAC,0,12/12/16,09:56:36,23.120000000,100
US.BAC,0,12/12/16,09:56:40,23.115000000,200
US.BAC,0,12/12/16,09:56:45,23.110000000,100
US.BAC,0,12/12/16,09:56:45,23.110000000,1000
US.BAC,0,12/12/16,09:56:45,23.110000000,267
US.BAC,0,12/12/16,09:56:46,23.110000000,300
US.BAC,0,12/12/16,09:56:46,23.110000000,100
US.BAC,0,12/12/16,09:56:46,23.110000000,100
US.BAC,0,12/12/16,09:56:46,23.110000000,100
US.BAC,0,12/12/16,09:56:46,23.105000000,200
US.BAC,0,12/12/16,09:56:46,23.105000000,100
US.BAC,0,12/12/16,09:56:46,23.100000000,400
US.BAC,0,12/12/16,09:56:46,23.100000000,600
US.BAC,0,12/12/16,09:56:46,23.100000000,1000
US.BAC,0,12/12/16,09:56:46,23.100000000,100
US.BAC,0,12/12/16,09:56:46,23.100000000,100
US.BAC,0,12/12/16,09:56:50,23.090000000,400
US.BAC,0,12/12/16,09:56:50,23.090000000,200
US.BAC,0,12/12/16,09:56:50,23.090000000,100
US.BAC,0,12/12/16,09:56:50,23.090000000,200
US.BAC,0,12/12/16,09:56:57,23.080000000,200
US.BAC,0,12/12/16,09:56:57,23.080000000,100
US.BAC,0,12/12/16,09:56:57,23.080000000,465
US.BAC,0,12/12/16,09:56:57,23.080000000,300
US.BAC,0,12/12/16,09:56:57,23.080000000,136
US.BAC,0,12/12/16,09:56:57,23.080000000,200
US.BAC,0,12/12/16,09:56:57,23.080000000,200
US.BAC,0,12/12/16,09:56:58,23.085000000,100
US.BAC,0,12/12/16,09:57:00,23.085000000,200
US.BAC,0,12/12/16,09:57:02,23.090000000,300
US.BAC,0,12/12/16,09:57:02,23.090000000,200
US.BAC,0,12/12/16,09:57:02,23.090000000,100
US.BAC,0,12/12/16,09:57:02,23.090000000,100
US.BAC,0,12/12/16,09:57:02,23.090000000,116
US.BAC,0,12/12/16,09:57:02,23.090000000,284
US.BAC,0,12/12/16,09:57:02,23.090000000,100
US.BAC,0,12/12/16,09:57:02,23.090000000,100
US.BAC,0,12/12/16,09:57:02,23.090000000,400
US.BAC,0,12/12/16,09:57:02,23.090000000,300
US.BAC,0,12/12/16,09:57:02,23.090000000,200
US.BAC,0,12/12/16,09:57:02,23.090000000,500
US.BAC,0,12/12/16,09:57:02,23.090000000,200
US.BAC,0,12/12/16,09:57:02,23.090000000,200
US.BAC,0,12/12/16,09:57:02,23.090000000,400
US.BAC,0,12/12/16,09:57:02,23.090000000,200
US.BAC,0,12/12/16,09:57:02,23.090000000,200
